source	time	heading	story	url
Charlottesville Tomorrow	1547798400	Planned data science school backed by largest ever gift to UVa	The University of Virginia plans to use the largest private gift in the institution's history to establish a school of data science. “There's no doubt that our.	https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmN2aWxsZXRvbW9ycm93Lm9yZy9hcnRpY2xlcy9wbGFubmVkLWRhdGEtc2NpZW5jZS1zY2hvb2wtYmFja2VkLWJ5LWxhcmdlc3QtZXZlci1naWZ0LXRvLXV2YS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
GOV.UK	1549844121	Minister calls to dispel girls' misconceptions of STEM subjects	School Standards Minister Nick Gibb has called on teachers, parents and society in general to challenge and dispel misconceptions some girls have about ...	https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3Lmdvdi51ay9nb3Zlcm5tZW50L25ld3MvbWluaXN0ZXItY2FsbHMtdG8tZGlzcGVsLWdpcmxzLW1pc2NvbmNlcHRpb25zLW9mLXN0ZW0tc3ViamVjdHPSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Monmouth Daily Review Atlas	1549810705	Business Briefs: Veterinary board; Cottage Hospital leadership; stroke center; Willhardt dean at MC	Lewis named to state veterinary board SPRINGFIELD — As the Illinois Legislature begins its new term in 2019, several veterinarians from around Illinois are ...	https://news.google.com/articles/CBMiiQFodHRwczovL3d3dy5yZXZpZXdhdGxhcy5jb20vbmV3cy8yMDE5MDIxMC9idXNpbmVzcy1icmllZnMtdmV0ZXJpbmFyeS1ib2FyZC1jb3R0YWdlLWhvc3BpdGFsLWxlYWRlcnNoaXAtc3Ryb2tlLWNlbnRlci13aWxsaGFyZHQtZGVhbi1hdC1tY9IB5QFodHRwczovL3d3dy1yZXZpZXdhdGxhcy1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cucmV2aWV3YXRsYXMuY29tL25ld3MvMjAxOTAyMTAvYnVzaW5lc3MtYnJpZWZzLXZldGVyaW5hcnktYm9hcmQtY290dGFnZS1ob3NwaXRhbC1sZWFkZXJzaGlwLXN0cm9rZS1jZW50ZXItd2lsbGhhcmR0LWRlYW4tYXQtbWM_dGVtcGxhdGU9YW1wYXJ0JmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Press Herald	1549623600	Maine's newest and biggest public company plans to bring 1200 jobs to Portland	A new publicly traded company that launched in Portland on Friday plans to bring 1,200 new jobs to a downtown headquarters that is under construction, ...	https://news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LnByZXNzaGVyYWxkLmNvbS8yMDE5LzAyLzA4L25ldy1hbmltYWwtaGVhbHRoLXRlY2gtZmlybS1wbGFucy10by1icmluZy0xMjAwLWpvYnMtdG8tcG9ydGxhbmQv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Firstpost	1549459609	Education, training sectors may witness increase in hiring this year; top metros to remain as major job...	For this survey, Shine.com leveraged its pool of data collated over the past year to map the Indian hiring landscape, focusing on key growth regions and ...	https://news.google.com/articles/CAIiEONfQApGNZyd3XzS29heq9AqFwgEKg8IACoHCAow5v6PATDrwA8wzuge?hl=en-IN&gl=IN&ceid=IN%3Aen
The Scotsman	1549864804	Between The Lines: Hope for Scots finance sector	The recent events of Westminster and Brussels have led to a sombre atmosphere amongst many businesses, but especially in financial services (FS). A sector ...	https://news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnNjb3RzbWFuLmNvbS9uZXdzL29waW5pb24vYmV0d2Vlbi10aGUtbGluZXMtaG9wZS1mb3Itc2NvdHMtZmluYW5jZS1zZWN0b3ItMS00ODcwMjU50gGsAWh0dHBzOi8vd3d3LXNjb3RzbWFuLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5zY290c21hbi5jb20vbmV3cy9vcGluaW9uL2JldHdlZW4tdGhlLWxpbmVzLWhvcGUtZm9yLXNjb3RzLWZpbmFuY2Utc2VjdG9yLTEtNDg3MDI1OS9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Predictive Analytics Times	1549364420	Dr. Data Video: Five Ways Your Safety Depends on Machine Learning	In this episode of The Dr. Data Show, Eric Siegel tells you about five ways your safety depends on machine learning, which actively protects you from all sorts of ...	https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LnByZWRpY3RpdmVhbmFseXRpY3N3b3JsZC5jb20vcGF0aW1lcy9kci1kYXRhLXZpZGVvLWZpdmUtd2F5cy15b3VyLXNhZmV0eS1kZXBlbmRzLW9uLW1hY2hpbmUtbGVhcm5pbmcvMTAwMTQv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
People Matters	1549866130	Here are a few HR tech startups to look forward to at TechHR Singapore	HR tech startups from countries like Singapore the US and Russia will participate in the upcoming People Matters TechHR Startup Program and showcase their ...	https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LnBlb3BsZW1hdHRlcnMuaW4vYXJ0aWNsZS90ZWNoaHItMjAxOS9oZXJlLWFyZS1hLWZldy1oci10ZWNoLXN0YXJ0dXBzLXRvLWxvb2stZm9yd2FyZC10by1hdC10ZWNoaHItc2luZ2Fwb3JlLTIwNzky0gHGAWh0dHBzOi8vd3d3LXBlb3BsZW1hdHRlcnMtaW4uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cucGVvcGxlbWF0dGVycy5pbi9hbXAtdGVjaGhyLTIwMTktaGVyZS1hcmUtYS1mZXctaHItdGVjaC1zdGFydHVwcy10by1sb29rLWZvcndhcmQtdG8tYXQtdGVjaGhyLXNpbmdhcG9yZS0yMDc5Mj9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
insideHPC	1549817460	Argonne Looks to Singularity for HPC Code Portability	Over at Argonne, Nils Heinonen writes that Researchers are using the open source Singularity framework as a kind of Rosetta Stone for running supercomputing ...	https://news.google.com/articles/CBMiVGh0dHBzOi8vaW5zaWRlaHBjLmNvbS8yMDE5LzAyL2FyZ29ubmUtbG9va3MtdG8tc2luZ3VsYXJpdHktZm9yLWhwYy1jb2RlLXBvcnRhYmlsaXR5L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
GOV.UK	1549632503	UK Hydrographic Office welcomes Secretary of State for Defence to Taunton	The UK Hydrographic Office (UKHO) has today welcomed the UK's Secretary of State for Defence, the Rt Hon Gavin Williamson CBE MP, to its Taunton ...	https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3Lmdvdi51ay9nb3Zlcm5tZW50L25ld3MvdWstaHlkcm9ncmFwaGljLW9mZmljZS13ZWxjb21lcy1zZWNyZXRhcnktb2Ytc3RhdGUtZm9yLWRlZmVuY2UtdG8tdGF1bnRvbtIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Gadgets Now	1539673200	50,000+ data science, AI Jobs vacant due to shortage of talent: Report	the market has twice the number of jobs as jobseekers, indicating an urgent need for professionals to upskill, said the study by online and hybrid education ...	https://news.google.com/articles/CAIiEM-wgKBRjD_BWIoA3SzlEukqGQgEKhAIACoHCAowv9f9CjCs1fUCMNfb8wU?hl=en-IN&gl=IN&ceid=IN%3Aen
People Matters	1549673002	Sylvie Nicol to succeed Kathrin Menges as EVP for HR of Henkel	Sylvie Nicol currently Corporate Senior Vice President Global Human Resources, has been appointed to the Henkel Management Board. Effective April 9, 2019, ...	https://news.google.com/articles/CBMihwFodHRwczovL3d3dy5wZW9wbGVtYXR0ZXJzLmluL25ld3MvYXBwb2ludG1lbnRzL3N5bHZpZS1uaWNvbC10by1zdWNjZWVkLWthdGhyaW4tbWVuZ2VzLWFzLWV4ZWN1dGl2ZS12aWNlLXByZXNpZGVudC1odW1hbi1yZXNvdXJjZXMtMjA3ODLSAdMBaHR0cHM6Ly93d3ctcGVvcGxlbWF0dGVycy1pbi5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5wZW9wbGVtYXR0ZXJzLmluL2FtcC1hcHBvaW50bWVudHMtc3lsdmllLW5pY29sLXRvLXN1Y2NlZWQta2F0aHJpbi1tZW5nZXMtYXMtZXhlY3V0aXZlLXZpY2UtcHJlc2lkZW50LWh1bWFuLXJlc291cmNlcy0yMDc4Mj9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
YourStory	1545811200	[Jobs Roundup] Best data science jobs up for grabs	Data science is one of the hottest sectors around the world as many companies are trying to leverage the full potential of data at their disposal.	https://news.google.com/articles/CAIiEEDS1YJq19Ryhg-2CIdgWr0qGQgEKhAIACoHCAow6-iECzC_7YEDMIfQhAY?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1546588800	It Might Not Be Your Dream Data Science Job If It Lacks These 4 Things	The data science industry will be constantly growing in coming years,but staying away from the herd and choosing right kind of data science job is crucial.	https://news.google.com/articles/CAIiEOsbs1SXZgREy4PP8kcB1yAqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
